id,type,name,state,total_flow,lat,lon,coordinate_status,geocode_priority,why_still_needs_work,geocode_query
TXDM-TX1,transplant_center,North Austin Medical Center,Texas,16,,,missing,3,blank_lat_lon,"North Austin Medical Center, Texas (transplant center hospital)"
NHDH-TX1,transplant_center,Mary Hitchcock Memorial Hospital,New Hampshire,14,,,missing,3,blank_lat_lon,"Mary Hitchcock Memorial Hospital, New Hampshire (transplant center hospital)"
NYVA-TX1,transplant_center,James J. Peters VA Medical Center,New York,14,,,missing,3,blank_lat_lon,"James J. Peters VA Medical Center, New York (transplant center hospital)"
TXUC-TX1,transplant_center,University Children's Health,Texas,14,,,missing,3,blank_lat_lon,"University Children's Health, Texas (transplant center hospital)"
SCCH-TX1,transplant_center,MUSC Children's Hospital,South Carolina,13,,,missing,3,blank_lat_lon,"MUSC Children's Hospital, South Carolina (transplant center hospital)"
MOUM-TX1,transplant_center,University of Missouri Hospital and Clinics,Missouri,12,,,missing,3,blank_lat_lon,"University of Missouri Hospital and Clinics, Missouri (transplant center hospital)"
DCCH-TX1,transplant_center,Children's National Medical Center,District of Columbia,11,,,missing,3,blank_lat_lon,"Children's National Medical Center, District of Columbia (transplant center hospital)"
NYCC-TX1,transplant_center,Long Island Jewish Medical Center-Cohen Children's Medical Center,New York,11,,,missing,3,blank_lat_lon,"Long Island Jewish Medical Center-Cohen Children's Medical Center, New York (transplant center hospital)"
TXDL-TX1,transplant_center,Dell Children's Medical Center,Texas,10,,,missing,3,blank_lat_lon,"Dell Children's Medical Center, Texas (transplant center hospital)"
DEAI-TX1,transplant_center,Nemours Children's Hospital Delaware,Delaware,8,,,missing,3,blank_lat_lon,"Nemours Children's Hospital Delaware, Delaware (transplant center hospital)"
NDMC-TX1,transplant_center,Sanford Bismarck Medical Center,North Dakota,8,,,missing,3,blank_lat_lon,"Sanford Bismarck Medical Center, North Dakota (transplant center hospital)"
FLJD-TX1,transplant_center,Memorial Regional Hospital/Joe DiMaggio Children's Hospital,Florida,7,,,missing,3,blank_lat_lon,"Memorial Regional Hospital/Joe DiMaggio Children's Hospital, Florida (transplant center hospital)"
TXDS-TX1,transplant_center,Dell Seton Medical Center at The University of Texas at Austin,Texas,7,,,missing,3,blank_lat_lon,"Dell Seton Medical Center at The University of Texas at Austin, Texas (transplant center hospital)"
IAVA-TX1,transplant_center,The Iowa City VA Health Care System,Iowa,5,,,missing,3,blank_lat_lon,"The Iowa City VA Health Care System, Iowa (transplant center hospital)"
MIDV-TX1,transplant_center,Corewell Health Helen DeVos Children's Hospital,Michigan,3,,,missing,3,blank_lat_lon,"Corewell Health Helen DeVos Children's Hospital, Michigan (transplant center hospital)"
OKCM-TX1,transplant_center,Children's Hospital of Oklahoma,Oklahoma,2,,,missing,3,blank_lat_lon,"Children's Hospital of Oklahoma, Oklahoma (transplant center hospital)"
PRCC-TX1,transplant_center,Cardiovascular Center of Puerto Rico and the Caribbean,Puerto Rico,2,,,missing,3,blank_lat_lon,"Cardiovascular Center of Puerto Rico and the Caribbean, Puerto Rico (transplant center hospital)"
MAOB-OP1,source_dsa,New England Organ Bank,Rhode Island,1580,41.6809,-71.5118,state_centroid,1,state_centroid_placeholder,"New England Organ Bank, Rhode Island (organ procurement)"
ILIP-OP1,source_dsa,Gift of Hope Organ & Tissue Donor Network,Illinois,1386,40.3495,-88.9861,state_centroid,1,state_centroid_placeholder,"Gift of Hope Organ & Tissue Donor Network, Illinois (organ procurement)"
INOP-OP1,source_dsa,Indiana Donor Network,Indiana,1247,39.8494,-86.2583,state_centroid,1,state_centroid_placeholder,"Indiana Donor Network, Indiana (organ procurement)"
MIOP-OP1,source_dsa,Gift of Life Michigan,Michigan,1077,43.3266,-84.5361,state_centroid,1,state_centroid_placeholder,"Gift of Life Michigan, Michigan (organ procurement)"
MWOB-OP1,source_dsa,Midwest Transplant Network,Missouri,980,38.4561,-92.2884,state_centroid,1,state_centroid_placeholder,"Midwest Transplant Network, Missouri (organ procurement)"
FLWC-OP1,source_dsa,LifeLink of Florida,Florida,909,27.7663,-81.6868,state_centroid,1,state_centroid_placeholder,"LifeLink of Florida, Florida (organ procurement)"
LAOP-OP1,source_dsa,Louisiana Organ Procurement Agency,Louisiana,894,31.1695,-91.8678,state_centroid,1,state_centroid_placeholder,"Louisiana Organ Procurement Agency, Louisiana (organ procurement)"
NCNC-OP1,source_dsa,HonorBridge,North Carolina,822,35.6301,-79.8064,state_centroid,1,state_centroid_placeholder,"HonorBridge, North Carolina (organ procurement)"
OHCC-TX1,transplant_center,The Cleveland Clinic Foundation,Ohio,803,40.3888,-82.7649,state_centroid,1,state_centroid_placeholder,"The Cleveland Clinic Foundation, Ohio (transplant center hospital)"
MOMA-OP1,source_dsa,Mid-America Transplant Services,Missouri,719,38.4561,-92.2884,state_centroid,1,state_centroid_placeholder,"Mid-America Transplant Services, Missouri (organ procurement)"
SCOP-OP1,source_dsa,We Are Sharing Hope SC,South Carolina,713,33.8569,-80.945,state_centroid,1,state_centroid_placeholder,"We Are Sharing Hope SC, South Carolina (organ procurement)"
TXSA-OP1,source_dsa,Texas Organ Sharing Alliance,Texas,701,31.0545,-97.5635,state_centroid,1,state_centroid_placeholder,"Texas Organ Sharing Alliance, Texas (organ procurement)"
FLMP-OP1,source_dsa,South Florida Donor Network,Florida,635,27.7663,-81.6868,state_centroid,1,state_centroid_placeholder,"South Florida Donor Network, Florida (organ procurement)"
CAUC-TX1,transplant_center,University of California at Los Angeles Medical Center,California,620,36.1162,-119.6816,state_centroid,1,state_centroid_placeholder,"University of California at Los Angeles Medical Center, California (transplant center hospital)"
ALOB-OP1,source_dsa,Legacy of Hope,Alabama,585,32.8067,-86.7911,state_centroid,1,state_centroid_placeholder,"Legacy of Hope, Alabama (organ procurement)"
OHLB-OP1,source_dsa,Lifebanc,Ohio,570,40.3888,-82.7649,state_centroid,1,state_centroid_placeholder,"Lifebanc, Ohio (organ procurement)"
CASF-TX1,transplant_center,University of California San Francisco Medical Center,California,548,36.1162,-119.6816,state_centroid,1,state_centroid_placeholder,"University of California San Francisco Medical Center, California (transplant center hospital)"
FLJM-TX1,transplant_center,Jackson Memorial Hospital University of Miami School of Medicine,Florida,490,27.7663,-81.6868,state_centroid,1,state_centroid_placeholder,"Jackson Memorial Hospital University of Miami School of Medicine, Florida (transplant center hospital)"
CASD-TX1,transplant_center,University of California San Diego Medical Center,California,445,36.1162,-119.6816,state_centroid,1,state_centroid_placeholder,"University of California San Diego Medical Center, California (transplant center hospital)"
COUC-TX1,transplant_center,University of Colorado Hospital/Health Science Center,Colorado,435,39.0598,-105.3111,state_centroid,1,state_centroid_placeholder,"University of Colorado Hospital/Health Science Center, Colorado (transplant center hospital)"
TXSP-TX1,transplant_center,UT Southwestern Medical Center/William P. Clements Jr. University Hospital,Texas,409,31.0545,-97.5635,state_centroid,1,state_centroid_placeholder,"UT Southwestern Medical Center/William P. Clements Jr. University Hospital, Texas (transplant center hospital)"
MNUM-TX1,transplant_center,"University of Minnesota Medical Center, Fairview",Minnesota,397,45.6945,-93.9002,state_centroid,1,state_centroid_placeholder,"University of Minnesota Medical Center, Fairview, Minnesota (transplant center hospital)"
WAUW-TX1,transplant_center,University of Washington Medical Center,Washington,395,47.4009,-121.4905,state_centroid,1,state_centroid_placeholder,"University of Washington Medical Center, Washington (transplant center hospital)"
TXHI-TX1,transplant_center,CHI St. Luke's Health Baylor College of Medicine Medical Center,Texas,374,31.0545,-97.5635,state_centroid,1,state_centroid_placeholder,"CHI St. Luke's Health Baylor College of Medicine Medical Center, Texas (transplant center hospital)"
NEUN-TX1,transplant_center,The Nebraska Medical Center,Nebraska,353,41.1254,-98.2681,state_centroid,1,state_centroid_placeholder,"The Nebraska Medical Center, Nebraska (transplant center hospital)"
ILUC-TX1,transplant_center,University of Chicago Medical Center,Illinois,344,40.3495,-88.9861,state_centroid,1,state_centroid_placeholder,"University of Chicago Medical Center, Illinois (transplant center hospital)"
NEOR-OP1,source_dsa,Live On Nebraska,Nebraska,327,41.1254,-98.2681,state_centroid,1,state_centroid_placeholder,"Live On Nebraska, Nebraska (organ procurement)"
CAPM-TX1,transplant_center,California Pacific Medical Center-Van Ness Campus,California,312,36.1162,-119.6816,state_centroid,1,state_centroid_placeholder,"California Pacific Medical Center-Van Ness Campus, California (transplant center hospital)"
UTMC-TX1,transplant_center,University of Utah Medical Center,Utah,257,40.15,-111.8624,state_centroid,1,state_centroid_placeholder,"University of Utah Medical Center, Utah (transplant center hospital)"
ORUO-TX1,transplant_center,Oregon Health and Science University,Oregon,214,44.572,-122.0709,state_centroid,1,state_centroid_placeholder,"Oregon Health and Science University, Oregon (transplant center hospital)"
CAIM-TX1,transplant_center,University of California Irvine Medical Center,California,210,36.1162,-119.6816,state_centroid,1,state_centroid_placeholder,"University of California Irvine Medical Center, California (transplant center hospital)"
HIOP-OP1,source_dsa,Legacy of Life Hawaii,Hawaii,166,21.0943,-157.4983,state_centroid,2,state_centroid_placeholder,"Legacy of Life Hawaii, Hawaii (organ procurement)"
