id,type,name,state,region,flow_total,current_lat,current_lon,coordinate_status,suggested_search,manual_city,manual_state,manual_lat,manual_lon,review_notes
NYEC-TX1,transplant_center,Erie County Medical Center,New York,Region  9,107,42.9263,-78.8325,facility_or_city,"Erie County Medical Center, New York, transplant center",,,,,
ILVA-TX1,transplant_center,Edward Hines Jr. Veterans Administration Medical Center,Illinois,Region  7,105,,,missing,"Edward Hines Jr. Veterans Administration Medical Center, Illinois, transplant center",,,,,
COPM-TX1,transplant_center,AdventHealth Porter,Colorado,Region  8,104,39.6718,-104.9741,facility_or_city,"AdventHealth Porter, Colorado, transplant center",,,,,
IAIV-TX1,transplant_center,University of Iowa Hospitals and Clinics Transplant Programs,Iowa,Region  8,103,,,missing,"University of Iowa Hospitals and Clinics Transplant Programs, Iowa, transplant center",,,,,
MISH-TX1,transplant_center,Corewell Health Grand Rapids Hospitals,Michigan,Region  10,103,,,missing,"Corewell Health Grand Rapids Hospitals, Michigan, transplant center",,,,,
NJRW-TX1,transplant_center,Robert Wood Johnson University Hospital,New Jersey,Region  2,101,40.4953,-74.4496,facility_or_city,"Robert Wood Johnson University Hospital, New Jersey, transplant center",,,,,
PRSJ-TX1,transplant_center,Auxilio Mutuo Hospital,Puerto Rico,Region  3,94,18.4096,-66.0511,facility_or_city,"Auxilio Mutuo Hospital, Puerto Rico, transplant center",,,,,
MOSL-TX1,transplant_center,SSM Health Saint Louis University Hospital,Missouri,Region  8,93,38.6242,-90.2392,facility_or_city,"SSM Health Saint Louis University Hospital, Missouri, transplant center",,,,,
VANG-TX1,transplant_center,Sentara Norfolk General Hospital,Virginia,Region  11,93,36.8625,-76.3038,facility_or_city,"Sentara Norfolk General Hospital, Virginia, transplant center",,,,,
TXDR-TX1,transplant_center,Doctor's Hospital at Renaissance,Texas,Region  4,90,,,missing,"Doctor's Hospital at Renaissance, Texas, transplant center",,,,,
WASH-TX1,transplant_center,Providence Sacred Heart Medical Center & Children's Hospital,Washington,Region  6,90,,,missing,"Providence Sacred Heart Medical Center & Children's Hospital, Washington, transplant center",,,,,
CASH-TX1,transplant_center,Sharp Memorial Hospital,California,Region  5,86,32.7997,-117.1544,facility_or_city,"Sharp Memorial Hospital, California, transplant center",,,,,
LAWK-TX1,transplant_center,Willis-Knighton Medical Center,Louisiana,Region  3,86,32.4849,-93.7787,facility_or_city,"Willis-Knighton Medical Center, Louisiana, transplant center",,,,,
INSV-TX1,transplant_center,Ascension St. Vincent Hospital,Indiana,Region  10,85,37.9829,-87.4389,facility_or_city,"Ascension St. Vincent Hospital, Indiana, transplant center",,,,,
NCEC-TX1,transplant_center,ECU Health Medical Center,North Carolina,Region  11,85,35.6076,-77.4029,facility_or_city,"ECU Health Medical Center, North Carolina, transplant center",,,,,
TXPL-TX1,transplant_center,Medical City Fort Worth,Texas,Region  4,85,32.7357,-97.3451,facility_or_city,"Medical City Fort Worth, Texas, transplant center",,,,,
TXSW-TX1,transplant_center,Scott and White Memorial Hospital,Texas,Region  4,85,,,missing,"Scott and White Memorial Hospital, Texas, transplant center",,,,,
COSL-TX1,transplant_center,Presbyterian/St Luke's Medical Center,Colorado,Region  8,82,39.7472,-104.967,facility_or_city,"Presbyterian/St Luke's Medical Center, Colorado, transplant center",,,,,
WISL-TX1,transplant_center,Aurora St. Luke's Medical Center,Wisconsin,Region  7,82,42.99,-87.9504,facility_or_city,"Aurora St. Luke's Medical Center, Wisconsin, transplant center",,,,,
WVCA-TX1,transplant_center,Charleston Area Medical Center,West Virginia,Region  2,79,38.3301,-81.6027,facility_or_city,"Charleston Area Medical Center, West Virginia, transplant center",,,,,
WAVM-TX1,transplant_center,Virginia Mason Medical Center,Washington,Region  6,78,47.6102,-122.3279,facility_or_city,"Virginia Mason Medical Center, Washington, transplant center",,,,,
PAGM-TX1,transplant_center,Geisinger Medical Center,Pennsylvania,Region  2,77,40.9681,-76.6046,facility_or_city,"Geisinger Medical Center, Pennsylvania, transplant center",,,,,
ORGS-TX1,transplant_center,Legacy Good Samaritan Hospital and Medical Center,Oregon,Region  6,74,,,missing,"Legacy Good Samaritan Hospital and Medical Center, Oregon, transplant center",,,,,
CASJ-TX1,transplant_center,Saint Joseph Hospital,California,Region  5,72,33.7821,-117.864,facility_or_city,"Saint Joseph Hospital, California, transplant center",,,,,
OKMD-TX1,transplant_center,OU Medical Center,Oklahoma,Region  4,71,35.4813,-97.5011,facility_or_city,"OU Medical Center, Oklahoma, transplant center",,,,,
MISM-TX1,transplant_center,Mercy Health Saint Mary's,Michigan,Region  10,68,,,missing,"Mercy Health Saint Mary's, Michigan, transplant center",,,,,
MORH-TX1,transplant_center,Research Medical Center,Missouri,Region  8,67,39.0099,-94.5597,facility_or_city,"Research Medical Center, Missouri, transplant center",,,,,
TXJS-TX1,transplant_center,University of Texas Medical Branch at Galveston,Texas,Region  4,66,29.312,-94.7763,facility_or_city,"University of Texas Medical Branch at Galveston, Texas, transplant center",,,,,
DCGW-TX1,transplant_center,George Washington University Hospital,District of Columbia,Region  2,65,38.9014,-77.0506,facility_or_city,"George Washington University Hospital, District of Columbia, transplant center",,,,,
ORVA-TX1,transplant_center,VA Portland Health Care System,Oregon,Region  6,65,,,missing,"VA Portland Health Care System, Oregon, transplant center",,,,,
CAPC-TX1,transplant_center,Lucile Salter Packard Children's Hospital at Stanford,California,Region  5,62,,,missing,"Lucile Salter Packard Children's Hospital at Stanford, California, transplant center",,,,,
GAMC-TX1,transplant_center,"Wellstar MCG Health, affiliated with Medical College of Georgia",Georgia,Region  3,59,,,missing,"Wellstar MCG Health, affiliated with Medical College of Georgia, Georgia, transplant center",,,,,
OHCM-TX1,transplant_center,Children's Hospital Medical Center,Ohio,Region  11,57,39.1409,-84.5023,facility_or_city,"Children's Hospital Medical Center, Ohio, transplant center",,,,,
