organ,to_date,year,transplants
Liver-Intestine,468,2001,34
Liver-Intestine,468,2002,23
Liver-Intestine,468,2003,20
Liver-Intestine,468,2004,45
Liver-Intestine,468,2005,35
Liver-Intestine,468,2006,32
Liver-Intestine,468,2007,32
Liver-Intestine,468,2008,10
Liver-Intestine,468,2009,8
Liver-Intestine,468,2010,3
Liver-Intestine,468,2011,4
Liver-Intestine,468,2012,1
Liver-Intestine,468,2013,2
Liver-Intestine,468,2014,0
Liver-Intestine,468,2015,2
Liver-Intestine,468,2016,2
Liver-Intestine,468,2017,0
Liver-Intestine,468,2018,3
Liver-Intestine,468,2019,1
Liver-Intestine,468,2020,0
Liver-Intestine,468,2021,0
Liver-Intestine,468,2022,1
Liver-Intestine,468,2023,0
Liver-Intestine,468,2024,1
Liver-Intestine,468,2025,1
Liver-Intestine,468,2026,0
Liver-Intestine-Pancreas,1281,1988,0
Liver-Intestine-Pancreas,1281,1989,0
Liver-Intestine-Pancreas,1281,1990,0
Liver-Intestine-Pancreas,1281,1991,1
Liver-Intestine-Pancreas,1281,1992,3
Liver-Intestine-Pancreas,1281,1993,7
Liver-Intestine-Pancreas,1281,1994,2
Liver-Intestine-Pancreas,1281,1995,2
Liver-Intestine-Pancreas,1281,1996,6
Liver-Intestine-Pancreas,1281,1997,10
Liver-Intestine-Pancreas,1281,1998,13
Liver-Intestine-Pancreas,1281,1999,9
Liver-Intestine-Pancreas,1281,2000,10
Liver-Intestine-Pancreas,1281,2001,27
Liver-Intestine-Pancreas,1281,2002,32
Liver-Intestine-Pancreas,1281,2003,31
Liver-Intestine-Pancreas,1281,2004,49
Liver-Intestine-Pancreas,1281,2005,47
Liver-Intestine-Pancreas,1281,2006,64
Liver-Intestine-Pancreas,1281,2007,89
Liver-Intestine-Pancreas,1281,2008,86
Liver-Intestine-Pancreas,1281,2009,71
Liver-Intestine-Pancreas,1281,2010,53
Liver-Intestine-Pancreas,1281,2011,39
Liver-Intestine-Pancreas,1281,2012,38
Liver-Intestine-Pancreas,1281,2013,50
Liver-Intestine-Pancreas,1281,2014,69
Liver-Intestine-Pancreas,1281,2015,67
Liver-Intestine-Pancreas,1281,2016,58
Liver-Intestine-Pancreas,1281,2017,55
Liver-Intestine-Pancreas,1281,2018,51
Liver-Intestine-Pancreas,1281,2019,35
Liver-Intestine-Pancreas,1281,2020,35
Liver-Intestine-Pancreas,1281,2021,36
Liver-Intestine-Pancreas,1281,2022,27
Liver-Intestine-Pancreas,1281,2023,31
Liver-Intestine-Pancreas,1281,2024,39
Liver-Intestine-Pancreas,1281,2025,37
Liver-Intestine-Pancreas,1281,2026,2
Liver-Intestine-Pancreas-Heart,1,1988,0
Liver-Intestine-Pancreas-Heart,1,1989,0
Liver-Intestine-Pancreas-Heart,1,1990,0
Liver-Intestine-Pancreas-Heart,1,1991,0
Liver-Intestine-Pancreas-Heart,1,1992,0
Liver-Intestine-Pancreas-Heart,1,1993,0
Liver-Intestine-Pancreas-Heart,1,1994,0
Liver-Intestine-Pancreas-Heart,1,1995,0
Liver-Intestine-Pancreas-Heart,1,1996,0
Liver-Intestine-Pancreas-Heart,1,1997,0
Liver-Intestine-Pancreas-Heart,1,1998,0
Liver-Intestine-Pancreas-Heart,1,1999,0
Liver-Intestine-Pancreas-Heart,1,2000,0
Liver-Intestine-Pancreas-Heart,1,2001,0
Liver-Intestine-Pancreas-Heart,1,2002,0
Liver-Intestine-Pancreas-Heart,1,2003,0
Liver-Intestine-Pancreas-Heart,1,2004,0
Liver-Intestine-Pancreas-Heart,1,2005,0
Liver-Intestine-Pancreas-Heart,1,2006,0
Liver-Intestine-Pancreas-Heart,1,2007,0
Liver-Intestine-Pancreas-Heart,1,2008,0
Liver-Intestine-Pancreas-Heart,1,2009,0
Liver-Intestine-Pancreas-Heart,1,2010,0
Liver-Intestine-Pancreas-Heart,1,2011,0
Liver-Intestine-Pancreas-Heart,1,2012,0
Liver-Intestine-Pancreas-Heart,1,2013,0
Liver-Intestine-Pancreas-Heart,1,2014,0
Liver-Intestine-Pancreas-Heart,1,2015,0
Liver-Intestine-Pancreas-Heart,1,2016,0
Liver-Intestine-Pancreas-Heart,1,2017,0
Liver-Intestine-Pancreas-Heart,1,2018,0
Liver-Intestine-Pancreas-Heart,1,2019,0
Liver-Intestine-Pancreas-Heart,1,2020,0
Liver-Intestine-Pancreas-Heart,1,2021,0
Liver-Intestine-Pancreas-Heart,1,2022,0
Liver-Intestine-Pancreas-Heart,1,2023,1
Liver-Intestine-Pancreas-Heart,1,2024,0
Liver-Intestine-Pancreas-Heart,1,2025,0
Liver-Intestine-Pancreas-Heart,1,2026,0
Liver-Kidney,14583,1988,23
Liver-Kidney,14583,1989,30
Liver-Kidney,14583,1990,46
Liver-Kidney,14583,1991,43
Liver-Kidney,14583,1992,57
Liver-Kidney,14583,1993,49
Liver-Kidney,14583,1994,86
Liver-Kidney,14583,1995,83
Liver-Kidney,14583,1996,112
Liver-Kidney,14583,1997,118
Liver-Kidney,14583,1998,98
Liver-Kidney,14583,1999,101
Liver-Kidney,14583,2000,135
