center_id,center_name,state,region
ORVA-TX1,VA Portland Health Care System,Oregon,Region  6
PAAE-TX1,Albert Einstein Medical Center,Pennsylvania,Region  2
PAAG-TX1,Allegheny General Hospital,Pennsylvania,Region  2
PACC-TX1,Crozer-Chester Medical Center,Pennsylvania,Region  2
PACH-TX1,UPMC Children's Hospital of Pittsburgh,Pennsylvania,Region  2
PACP-TX1,Children's Hospital of Philadelphia,Pennsylvania,Region  2
PAGM-TX1,Geisinger Medical Center,Pennsylvania,Region  2
PAHE-TX1,Penn State Milton S Hershey Medical Center,Pennsylvania,Region  2
PAHH-TX1,Pinnacle Health System at Harrisburg Hospital,Pennsylvania,Region  2
PAHM-TX1,Hahnemann University Hospital,Pennsylvania,Region  2
PALH-TX1,The Lankenau Hospital,Pennsylvania,Region  2
PALV-TX1,Lehigh Valley Hospital,Pennsylvania,Region  2
PAPH-TX1,UPMC Hamot,Pennsylvania,Region  2
PAPT-TX1,University of Pittsburgh Medical Center,Pennsylvania,Region  2
PASC-TX1,St. Christopher's Hospital for Children,Pennsylvania,Region  2
PATJ-TX1,Thomas Jefferson University Hospital,Pennsylvania,Region  2
PATU-TX1,Temple University Hospital,Pennsylvania,Region  2
PAUP-TX1,Hospital of the University of Pennsylvania,Pennsylvania,Region  2
PAVA-TX1,VA Pittsburgh Healthcare System,Pennsylvania,Region  2
PRCC-TX1,Cardiovascular Center of Puerto Rico and the Caribbean,Puerto Rico,Region  3
PRSJ-TX1,Auxilio Mutuo Hospital,Puerto Rico,Region  3
RIRH-TX1,Rhode Island Hospital,Rhode Island,Region  1
SCCH-TX1,MUSC Children's Hospital,South Carolina,Region  11
SCLA-TX1,MUSC Lancaster,South Carolina,Region  11
SCMU-TX1,Medical University of South Carolina,South Carolina,Region  11
SCPG-TX1,Prisma Health Greenville Memorial Hospital,South Carolina,Region  11
SDMK-TX1,Avera McKennan Hospital,South Dakota,Region  7
SDSV-TX1,Sanford Health/USD Medical Center,South Dakota,Region  7
TNBM-TX1,Baptist Memorial Hospital,Tennessee,Region  11
TNEM-TX1,Erlanger Medical Center,Tennessee,Region  11
TNLB-TX1,Le Bonheur Children's Medical Center,Tennessee,Region  11
TNMH-TX1,Methodist University Hospital,Tennessee,Region  11
TNPV-TX1,Centennial Medical Center,Tennessee,Region  11
TNST-TX1,Saint Thomas Hospital,Tennessee,Region  11
TNUK-TX1,University of Tennessee Medical Center at Knoxville,Tennessee,Region  11
TNVU-TX1,Vanderbilt University Medical Center,Tennessee,Region  11
TXAS-TX1,Baylor  Scott and White All Saints Medical Center-Fort Worth,Texas,Region  4
TXBC-TX1,"University Hospital, University of Texas Health Science Center",Texas,Region  4
TXCF-TX1,Cook Children's Medical Center,Texas,Region  4
TXCM-TX1,Children's Medical Center of Dallas,Texas,Region  4
TXCT-TX1,Seton Medical Center Austin,Texas,Region  4
TXDC-TX1,Driscoll Children's Hospital,Texas,Region  4
TXDL-TX1,Dell Children's Medical Center,Texas,Region  4
TXDM-TX1,North Austin Medical Center,Texas,Region  4
TXDR-TX1,Doctor's Hospital at Renaissance,Texas,Region  4
TXDS-TX1,Dell Seton Medical Center at The University of Texas at Austin,Texas,Region  4
TXFW-TX1,Texas Health Harris Methodist Fort Worth Hospital,Texas,Region  4
TXHD-TX1,Medical City Dallas Hospital,Texas,Region  4
TXHH-TX1,"Memorial Hermann Hospital, University of Texas at Houston",Texas,Region  4
TXHI-TX1,CHI St. Luke's Health Baylor College of Medicine Medical Center,Texas,Region  4
TXHS-TX1,Methodist Specialty and Transplant Hospital,Texas,Region  4
TXJS-TX1,University of Texas Medical Branch at Galveston,Texas,Region  4
TXLM-TX1,Covenant Medical Center,Texas,Region  4
