id,type,name,state,region,lat,lon,notes
WAVM-TX1,transplant_center,Virginia Mason Medical Center,Washington,Region  6,,,
PAGM-TX1,transplant_center,Geisinger Medical Center,Pennsylvania,Region  2,,,
ORGS-TX1,transplant_center,Legacy Good Samaritan Hospital and Medical Center,Oregon,Region  6,,,
CASJ-TX1,transplant_center,Saint Joseph Hospital,California,Region  5,,,
OKMD-TX1,transplant_center,OU Medical Center,Oklahoma,Region  4,,,
MISM-TX1,transplant_center,Mercy Health Saint Mary's,Michigan,Region  10,,,
MORH-TX1,transplant_center,Research Medical Center,Missouri,Region  8,,,
TXJS-TX1,transplant_center,University of Texas Medical Branch at Galveston,Texas,Region  4,,,
DCGW-TX1,transplant_center,George Washington University Hospital,District of Columbia,Region  2,,,
ORVA-TX1,transplant_center,VA Portland Health Care System,Oregon,Region  6,,,
CAPC-TX1,transplant_center,Lucile Salter Packard Children's Hospital at Stanford,California,Region  5,,,
GAMC-TX1,transplant_center,"Wellstar MCG Health, affiliated with Medical College of Georgia",Georgia,Region  3,,,
OHCM-TX1,transplant_center,Children's Hospital Medical Center,Ohio,Region  11,,,
TXCM-TX1,transplant_center,Children's Medical Center of Dallas,Texas,Region  4,,,
ILCH-TX1,transplant_center,Advocate Christ Medical Center,Illinois,Region  7,,,
NYUM-TX1,transplant_center,State University of New York Upstate Medical University,New York,Region  9,,,
ILCM-TX1,transplant_center,Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,Region  7,,,
TNUK-TX1,transplant_center,University of Tennessee Medical Center at Knoxville,Tennessee,Region  11,,,
OHTC-TX1,transplant_center,The Christ Hospital,Ohio,Region  11,,,
CACL-TX1,transplant_center,Children's Hospital Los Angeles,California,Region  5,,,
TXHH-TX1,transplant_center,"Memorial Hermann Hospital, University of Texas at Houston",Texas,Region  4,,,
PACH-TX1,transplant_center,UPMC Children's Hospital of Pittsburgh,Pennsylvania,Region  2,,,
PAVA-TX1,transplant_center,VA Pittsburgh Healthcare System,Pennsylvania,Region  2,,,
AZUA-TX1,transplant_center,Banner University Medical Center-Tucson,Arizona,Region  5,,,
CALA-TX1,transplant_center,Harbor UCLA Medical Center,California,Region  5,,,
PADV-OP1,source_dsa,Gift of Life Donor Program,Pennsylvania,Region  2,39.9526,-75.1652,city_approx:Philadelphia;high
CAOP-OP1,source_dsa,OneLegacy,California,Region  5,34.1336,-117.9073,city_approx:Los Angeles area (OneLegacy);high
TXSB-OP1,source_dsa,Southwest Transplant Alliance,Texas,Region  4,32.7767,-96.797,city_approx:Dallas;high
GALL-OP1,source_dsa,LifeLink of Georgia,Georgia,Region  3,33.749,-84.388,city_approx:Atlanta;high
WALC-OP1,source_dsa,LifeCenter Northwest,Washington,Region  6,47.6145,-122.186,city_approx:Bellevue;high
TXGC-OP1,source_dsa,LifeGift Organ Donation Center,Texas,Region  4,29.7604,-95.3698,city_approx:Houston;high
TNDS-OP1,source_dsa,Tennessee Donor Services,Tennessee,Region  11,36.1627,-86.7816,city_approx:Nashville;high
CADN-OP1,source_dsa,Donor Network West,California,Region  5,37.7799,-121.978,city_approx:San Ramon;medium
AZOB-OP1,source_dsa,Donor Network of Arizona,Arizona,Region  5,33.4484,-112.074,city_approx:Phoenix;high
CORS-OP1,source_dsa,Donor Alliance,Colorado,Region  8,39.7392,-104.9903,city_approx:Denver;high
MNOP-OP1,source_dsa,LifeSource Upper Midwest Organ Procurement Organization,South Dakota,Region  7,44.975,-93.225,city_approx:Minneapolis;medium
AZMC-TX1,transplant_center,Mayo Clinic Hospital Arizona,Arizona,Region  5,33.5044,-112.074,city_approx:Phoenix;high
GAEM-TX1,transplant_center,Emory University Hospital,Georgia,Region  3,33.7925,-84.3244,city_approx:Atlanta;high
TXMH-TX1,transplant_center,Houston Methodist Hospital,Texas,Region  4,29.7097,-95.3984,city_approx:Houston;high
UTOP-OP1,source_dsa,DonorConnect,Utah,Region  5,40.7608,-111.891,city_approx:Salt Lake City;high
MOCH-TX1,transplant_center,St. Louis Children's Hospital at Washington University Medical Center,Missouri,Region  8,,,
TXFW-TX1,transplant_center,Texas Health Harris Methodist Fort Worth Hospital,Texas,Region  4,,,
TXVA-TX1,transplant_center,Michael E. DeBakey VA Medical Center,Texas,Region  4,,,
