id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
PACH-TX1,transplant_center,UPMC Children's Hospital of Pittsburgh,Pennsylvania,Region  2,51,0,51,22,,,missing,2,"UPMC Children's Hospital of Pittsburgh, Pennsylvania (transplant center hospital)",
PAVA-TX1,transplant_center,VA Pittsburgh Healthcare System,Pennsylvania,Region  2,51,0,51,16,,,missing,2,"VA Pittsburgh Healthcare System, Pennsylvania (transplant center hospital)",
AZUA-TX1,transplant_center,Banner University Medical Center-Tucson,Arizona,Region  5,50,0,50,12,,,missing,2,"Banner University Medical Center-Tucson, Arizona (transplant center hospital)",
CALA-TX1,transplant_center,Harbor UCLA Medical Center,California,Region  5,50,0,50,5,,,missing,2,"Harbor UCLA Medical Center, California (transplant center hospital)",
MOCH-TX1,transplant_center,St. Louis Children's Hospital at Washington University Medical Center,Missouri,Region  8,49,0,49,22,,,missing,3,"St. Louis Children's Hospital at Washington University Medical Center, Missouri (transplant center hospital)",
TXFW-TX1,transplant_center,Texas Health Harris Methodist Fort Worth Hospital,Texas,Region  4,49,0,49,7,,,missing,3,"Texas Health Harris Methodist Fort Worth Hospital, Texas (transplant center hospital)",
TXVA-TX1,transplant_center,Michael E. DeBakey VA Medical Center,Texas,Region  4,49,0,49,10,,,missing,3,"Michael E. DeBakey VA Medical Center, Texas (transplant center hospital)",
NYSB-TX1,transplant_center,University Hospital of State University of New York at Stony Brook,New York,Region  9,47,0,47,10,,,missing,3,"University Hospital of State University of New York at Stony Brook, New York (transplant center hospital)",
DECC-TX1,transplant_center,Christiana Care Health Services,Delaware,Region  2,46,0,46,16,,,missing,3,"Christiana Care Health Services, Delaware (transplant center hospital)",
GAEH-TX1,transplant_center,Children’s Healthcare of Atlanta - Arthur M. Blank Hospital,Georgia,Region  3,45,0,45,19,,,missing,3,"Children’s Healthcare of Atlanta - Arthur M. Blank Hospital, Georgia (transplant center hospital)",
ILSF-TX1,transplant_center,OSF Saint Francis Medical Center,Illinois,Region  7,44,0,44,10,,,missing,3,"OSF Saint Francis Medical Center, Illinois (transplant center hospital)",
WACH-TX1,transplant_center,Seattle Children's Hospital,Washington,Region  6,42,0,42,4,,,missing,3,"Seattle Children's Hospital, Washington (transplant center hospital)",
MACH-TX1,transplant_center,Boston Children's Hospital,Massachusetts,Region  1,41,0,41,19,,,missing,3,"Boston Children's Hospital, Massachusetts (transplant center hospital)",
TXLP-TX1,transplant_center,Las Palmas Medical Center,Texas,Region  4,41,0,41,6,,,missing,3,"Las Palmas Medical Center, Texas (transplant center hospital)",
CAGH-TX1,transplant_center,Scripps Green Hospital,California,Region  5,40,0,40,8,,,missing,3,"Scripps Green Hospital, California (transplant center hospital)",
PAHH-TX1,transplant_center,Pinnacle Health System at Harrisburg Hospital,Pennsylvania,Region  2,40,0,40,17,,,missing,3,"Pinnacle Health System at Harrisburg Hospital, Pennsylvania (transplant center hospital)",
NJBI-TX1,transplant_center,Newark Beth Israel Medical Center,New Jersey,Region  2,39,0,39,20,,,missing,3,"Newark Beth Israel Medical Center, New Jersey (transplant center hospital)",
MNHC-TX1,transplant_center,Hennepin County Medical Center,Minnesota,Region  7,38,0,38,7,,,missing,3,"Hennepin County Medical Center, Minnesota (transplant center hospital)",
NJUH-TX1,transplant_center,University Hospital,New Jersey,Region  2,38,0,38,12,,,missing,3,"University Hospital, New Jersey (transplant center hospital)",
UTPC-TX1,transplant_center,Primary Children's Hospital,Utah,Region  5,38,0,38,12,,,missing,3,"Primary Children's Hospital, Utah (transplant center hospital)",
PACP-TX1,transplant_center,Children's Hospital of Philadelphia,Pennsylvania,Region  2,37,0,37,17,,,missing,3,"Children's Hospital of Philadelphia, Pennsylvania (transplant center hospital)",
IAIM-TX1,transplant_center,Iowa Methodist Medical Center,Iowa,Region  8,36,0,36,6,,,missing,3,"Iowa Methodist Medical Center, Iowa (transplant center hospital)",
NYDS-TX1,transplant_center,"State University of New York, Downstate Medical Center",New York,Region  9,36,0,36,13,,,missing,3,"State University of New York, Downstate Medical Center, New York (transplant center hospital)",
DCWH-TX1,transplant_center,Washington Hospital Center,District of Columbia,Region  2,35,0,35,17,,,missing,3,"Washington Hospital Center, District of Columbia (transplant center hospital)",
OHCH-TX1,transplant_center,Nationwide Children's Hospital,Ohio,Region  11,34,0,34,18,,,missing,3,"Nationwide Children's Hospital, Ohio (transplant center hospital)",
OKSJ-TX1,transplant_center,St John Medical Center,Oklahoma,Region  4,34,0,34,7,,,missing,3,"St John Medical Center, Oklahoma (transplant center hospital)",
