id,type,name,state,lat,lon,coordinate_quality,notes
TXSB-OP1,source_dsa,Southwest Transplant Alliance,Texas,32.7767,-96.797,city_approx,city_approx:Dallas;high
GALL-OP1,source_dsa,LifeLink of Georgia,Georgia,33.749,-84.388,city_approx,city_approx:Atlanta;high
WALC-OP1,source_dsa,LifeCenter Northwest,Washington,47.6145,-122.186,city_approx,city_approx:Bellevue;high
TXGC-OP1,source_dsa,LifeGift Organ Donation Center,Texas,29.7604,-95.3698,city_approx,city_approx:Houston;high
TNDS-OP1,source_dsa,Tennessee Donor Services,Tennessee,36.1627,-86.7816,city_approx,city_approx:Nashville;high
CADN-OP1,source_dsa,Donor Network West,California,37.7799,-121.978,city_approx,city_approx:San Ramon;medium
AZOB-OP1,source_dsa,Donor Network of Arizona,Arizona,33.4484,-112.074,city_approx,city_approx:Phoenix;high
CORS-OP1,source_dsa,Donor Alliance,Colorado,39.7392,-104.9903,city_approx,city_approx:Denver;high
MNOP-OP1,source_dsa,LifeSource Upper Midwest Organ Procurement Organization,South Dakota,44.975,-93.225,city_approx,city_approx:Minneapolis;medium
AZMC-TX1,transplant_center,Mayo Clinic Hospital Arizona,Arizona,33.5044,-112.074,city_approx,city_approx:Phoenix;high
GAEM-TX1,transplant_center,Emory University Hospital,Georgia,33.7925,-84.3244,city_approx,city_approx:Atlanta;high
TXMH-TX1,transplant_center,Houston Methodist Hospital,Texas,29.7097,-95.3984,city_approx,city_approx:Houston;high
UTOP-OP1,source_dsa,DonorConnect,Utah,40.7608,-111.891,city_approx,city_approx:Salt Lake City;high
MOCH-TX1,transplant_center,St. Louis Children's Hospital at Washington University Medical Center,Missouri,,,missing,
TXFW-TX1,transplant_center,Texas Health Harris Methodist Fort Worth Hospital,Texas,,,missing,
TXVA-TX1,transplant_center,Michael E. DeBakey VA Medical Center,Texas,,,missing,
NYSB-TX1,transplant_center,University Hospital of State University of New York at Stony Brook,New York,,,missing,
DECC-TX1,transplant_center,Christiana Care Health Services,Delaware,,,missing,
