,,,,All Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine
,,None of the above,,35,30,22,4,0,1,0
,,Seizure,,16,14,10,3,1,2,0
,Non MVA,All Mechanisms,,69,63,51,24,7,17,1
,,Asphyxiation,,2,2,1,1,0,1,0
,,Blunt Injury,,20,20,15,3,1,1,0
,,Cardiovascular,,3,1,3,1,0,0,0
,,Drug Intoxication,,18,15,15,12,2,11,0
,,Electrical,,1,1,1,0,0,0,0
,,Gunshot Wound,,5,5,4,4,3,3,1
,,Intracranial Hemorrhage / Stroke,,2,1,2,0,0,0,0
,,Natural Causes (Since 10/25/99),,1,1,0,0,0,0,0
,,None of the above,,17,17,10,3,1,1,0
,None of the above,All Mechanisms,,151,143,88,32,8,23,0
,,Asphyxiation,,3,3,2,1,0,0,0
,,
,,Blunt Injury,,2,2,1,2,1,0,0
,,Cardiovascular,,14,12,10,1,1,0,0
,,Drug Intoxication,,6,6,5,2,0,2,0
,,Gunshot Wound,,15,13,14,11,2,7,0
,,Intracranial Hemorrhage / Stroke,,7,7,5,1,0,3,0
,,Natural Causes (Since 10/25/99),,7,6,3,0,1,1,0
,,None of the above,,96,93,48,14,3,10,0
,,Seizure,,1,1,0,0,0,0,0
,Suicide,All Mechanisms,,23,23,15,9,4,7,0
,,Asphyxiation,,3,3,2,1,0,1,0
,,Blunt Injury,,1,1,1,1,1,0,0
,,Drug Intoxication,,12,12,8,5,1,5,0
,,Gunshot Wound,,4,4,3,2,2,1,0
,,None of the above,,3,3,1,0,0,0,0
