,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
,Cirrhosis: Chronic Active Hepatitis: Etiology Unk,,6,0,6,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Cryptogenic (Idiopathic),,213,0,213,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Drug/Indust Exposure Other Specify,,9,0,9,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Fatty Liver (Nash),,362,0,362,0,0,0,0,0,0,0,0,0,0
,"Cirrhosis: Other, Specify (E.G., Histiocytosis, S",,100,0,100,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Type A,,1,0,1,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Type B. And C,,6,0,6,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Type B. And D,,2,0,2,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Type B- Hbsag+,,91,0,91,0,0,0,0,0,0,0,0,0,0
,"Ahn: Other, Specify (E.G., Acute Viral Infection,",,30,0,30,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Type C,,323,0,323,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Type D,,1,0,1,0,0,0,0,0,0,0,0,0,0
,Common Variable Immune Deficiency,,1,0,0,0,0,0,1,0,0,0,0,0,0
,Congenital Heart Defect -. Prior Surgery Unknown,,2,0,0,0,0,2,0,0,0,0,0,0,0
,Congenital Heart Defect -. With Surgery,,522,0,0,0,0,522,0,0,0,0,0,0,0
,Congenital Heart Defect -. Without Surgery,,38,0,0,0,0,38,0,0,0,0,0,0,0
,Congenital Hepatic Fibrosis,,25,0,25,0,0,0,0,0,0,0,0,0,0
,Congenital Malformation,,2,0,0,0,0,0,2,0,0,0,0,0,0
,Congenital Obstructive Uropathy,,625,625,0,0,0,0,0,0,0,0,0,0,0
,RETRANSPLANT/GRAFT FAILURE,,41,0,0,41,0,0,0,0,0,0,0,0,0
,Constrictive Bronchiolitis,,1,0,0,0,0,0,1,0,0,0,0,0,0
,Copd/Emphysema,,214,0,0,0,0,0,214,2,0,0,0,0,0
,Coronary Artery Disease,,72,0,0,0,0,72,0,0,0,0,0,0,0
,Cortical Necrosis,,39,39,0,0,0,0,0,0,0,0,0,0,0
,Crest -. Pulmonary Hypertension,,1,0,0,0,0,0,1,0,0,0,0,0,0
,Cystic Fibrosis,,17,0,0,0,0,0,17,1,0,0,0,0,0
,Ahn: Type B. And C,,1,0,1,0,0,0,0,0,0,0,0,0,0
,RETRANSPLANT,,7,0,0,0,0,0,0,0,7,0,0,0,0
,Cystinosis,,35,33,0,1,3,0,0,0,0,0,0,0,0
,Diabetes -. Type I. Insulin Dep/Juv Onset,,7,6,0,0,3,0,0,0,0,0,0,0,0
,Diabetes -. Type II Insulin Dep/Adult Ons,,8,8,0,0,0,0,0,0,0,0,0,0,0
