,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
Pennsylvania,All Donation Service Areas,,"5,687","4,928",451,61,131,165,130,4,34,0,0,0,0
,PADV-OP1 Gift of Life Donor Program,,"4,081","3,572",269,23,118,114,109,3,0,0,0,0,0
,PATF-OP1 Center for Organ Recovery and Education,,"1,651","1,400",184,38,13,51,21,1,34,0,0,0,0
Puerto Rico,All Donation Service Areas,,463,433,26,0,31,6,0,0,0,0,0,0,0
,PRLL-OP1 LifeLink of Puerto Rico,,463,433,26,0,31,6,0,0,0,0,0,0,0
Rhode Island,All Donation Service Areas,,385,385,0,0,0,0,0,0,0,0,0,0,0
,MAOB-OP1 New England Organ Bank,,385,385,0,0,0,0,0,0,0,0,0,0,0
South Carolina,All Donation Service Areas,,"1,987","1,740",122,13,91,87,6,0,0,0,0,0,0
,SCOP-OP1 We Are Sharing Hope SC,,"1,987","1,740",122,13,91,87,6,0,0,0,0,0,0
South Dakota,All Donation Service Areas,,403,399,0,3,33,0,0,0,0,0,0,0,0
,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,,403,399,0,3,33,0,0,0,0,0,0,0,0
Tennessee,All Donation Service Areas,,"3,007","2,743",131,12,52,121,11,0,0,0,0,0,0
,TNDS-OP1 Tennessee Donor Services,,"2,366","2,170",98,7,34,97,11,0,0,0,0,0,0
,TNMS-OP1 Mid-South Transplant Foundation,,718,645,33,6,18,24,0,0,0,0,0,0,0
Texas,All Donation Service Areas,,"11,287","9,533","1,344",26,122,419,97,3,0,0,0,0,1
,TXGC-OP1 LifeGift Organ Donation Center,,"4,607","3,663",779,14,51,210,48,3,0,0,0,0,0
,TXSA-OP1 Texas Organ Sharing Alliance,,"3,080","2,821",187,8,13,64,15,0,0,0,0,0,0
,TXSB-OP1 Southwest Transplant Alliance,,"4,222","3,657",387,4,62,147,34,0,0,0,0,0,1
Utah,All Donation Service Areas,,"1,012",860,57,3,26,71,8,0,0,0,0,0,0
,UTOP-OP1 DonorConnect,,"1,012",860,57,3,26,71,8,0,0,0,0,0,0
Virginia,All Donation Service Areas,,"3,383","2,926",277,40,92,135,35,2,0,0,0,0,0
,MDPC-OP1 Infinite Legacy,,705,651,0,26,23,40,18,2,0,0,0,0,0
,VATB-OP1 LifeNet Health,,"2,717","2,314",277,14,69,95,17,0,0,0,0,0,0
Washington,All Donation Service Areas,,"1,641","1,353",178,10,40,46,46,0,0,0,0,0,0
,WALC-OP1 LifeCenter Northwest,,"1,641","1,353",178,10,40,46,46,0,0,0,0,0,0
,
West Virginia,All Donation Service Areas,,177,170,0,0,0,7,0,0,0,0,0,0,0
,PATF-OP1 Center for Organ Recovery and Education,,177,170,0,0,0,7,0,0,0,0,0,0,0
Wisconsin,All Donation Service Areas,,"1,533","1,294",116,16,58,74,22,0,0,0,0,0,0
,"WIDN-OP1 Versiti Blood Health, Inc.",,822,715,50,4,29,58,1,0,0,0,0,0,0
,WIUW-IO1 UW Health Organ and Tissue Donation,,777,642,67,12,32,16,21,0,0,0,0,0,0
