,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - upper limb,VCA - uterus
,TNLB-TX1 Le Bonheur Children's Medical Center,,15,4,3,0,0,8,0,0,0,0,0,0,0
,TNMH-TX1 Methodist University Hospital,,687,641,30,6,18,0,0,0,0,0,0,0,0
,TNPV-TX1 Centennial Medical Center,,31,31,0,0,0,0,0,0,0,0,0,0,0
,TNST-TX1 Saint Thomas Hospital,,287,271,0,0,0,20,0,0,0,0,0,0,0
,TNUK-TX1 University of Tennessee Medical Center at Knoxville,,339,339,0,0,0,0,0,0,0,0,0,0,0
,TNVU-TX1 Vanderbilt University Medical Center,,"1,551","1,369",98,7,34,77,11,0,0,0,0,0,0
,TXAS-TX1 Baylor  Scott and White All Saints Medical Center-Fort Worth,,286,250,31,0,9,0,0,0,0,0,0,0,0
,"TXBC-TX1 University Hospital, University of Texas Health Science Center",,759,652,102,0,0,0,9,0,0,0,0,0,0
,TXCF-TX1 Cook Children's Medical Center,,5,4,0,0,0,1,0,0,0,0,0,0,0
,TXCM-TX1 Children's Medical Center of Dallas,,53,18,6,0,0,31,0,0,0,0,0,0,0
,TXCT-TX1 Seton Medical Center Austin,,21,0,0,0,0,21,0,0,0,0,0,0,0
,TXDC-TX1 Driscoll Children's Hospital,,15,15,0,0,0,0,0,0,0,0,0,0,0
,TXDL-TX1 Dell Children's Medical Center,,11,0,0,0,0,11,0,0,0,0,0,0,0
,TXDM-TX1 North Austin Medical Center,,225,225,0,0,0,0,0,0,0,0,0,0,0
,TXDR-TX1 Doctor's Hospital at Renaissance,,133,133,0,0,0,0,0,0,0,0,0,0,0
,TXDS-TX1 Dell Seton Medical Center at The University of Texas at Austin,,165,163,0,0,2,0,0,0,0,0,0,0,0
,TXFW-TX1 Texas Health Harris Methodist Fort Worth Hospital,,199,199,0,0,0,0,0,0,0,0,0,0,0
,TXHD-TX1 Medical City Dallas Hospital,,857,816,19,1,18,11,0,0,0,0,0,0,0
,"TXHH-TX1 Memorial Hermann Hospital, University of Texas at Houston",,213,120,9,3,1,75,6,0,0,0,0,0,0
,TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,,"1,007",796,201,0,0,22,16,0,0,0,0,0,0
,TXHS-TX1 Methodist Specialty and Transplant Hospital,,"1,880","1,770",78,8,8,32,6,0,0,0,0,0,0
,TXJS-TX1 University of Texas Medical Branch at Galveston,,440,430,0,0,2,7,3,0,0,0,0,0,0
,TXLM-TX1 Covenant Medical Center,,41,41,0,0,0,0,0,0,0,0,0,0,0
,TXLP-TX1 Las Palmas Medical Center,,262,262,0,0,0,0,0,0,0,0,0,0,0
,TXMC-TX1 Methodist Dallas Medical Center,,547,475,70,0,11,0,0,0,0,0,0,0,0
,TXMH-TX1 Houston Methodist Hospital,,"2,310","1,804",487,11,38,65,23,2,0,0,0,0,0
,TXPL-TX1 Medical City Fort Worth,,195,195,0,0,3,0,0,0,0,0,0,0,0
,TXPM-TX1 Parkland Health and Hospital System,,93,93,0,0,0,0,0,0,0,0,0,0,0
,TXRM-TX1 Christus Santa Rosa Hospital Medical Center,,1,1,0,0,0,0,0,0,0,0,0,0,0
,TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,,826,570,240,0,2,43,10,0,0,0,0,0,0
,TXSW-TX1 Scott and White Memorial Hospital,,379,352,0,1,8,22,0,0,0,0,0,0,0
,TXTC-TX1 Texas Children's Hospital,,117,51,18,0,0,46,3,1,0,0,0,0,0
,TXTX-TX1 Baylor University Medical Center,,715,590,52,2,21,33,21,0,0,0,0,0,1
,TXTY-TX1 East Texas Medical Center,,129,129,0,0,0,0,0,0,0,0,0,0,0
,TXUC-TX1 University Children's Health,,23,16,7,0,0,0,0,0,0,0,0,0,0
,TXVA-TX1 Michael E. DeBakey VA Medical Center,,317,283,34,0,0,2,0,0,0,0,0,0,0
,
,TXWH-TX1 Wilford Hall Medical Center,,3,2,0,0,3,0,0,0,0,0,0,0,0
