diagnosis,organ,count,organ_color
Lung Re-Tx/Gf: Obliterative Bronchiolitis-Obstruc,Lung,27,#c2a878
Lung Re-Tx/Gf: Obliterative Bronchiolitis-Restric,Lung,5,#c2a878
Lung Re-Tx/Gf: Obstructive,Lung,6,#c2a878
Lung Re-Tx/Gf: Other Specify,Lung,3,#c2a878
Lung Re-Tx/Gf: Primary Graft Failure,Lung,2,#c2a878
Lung Re-Tx/Gf: Restrictive,Lung,3,#c2a878
Lupus,Lung,2,#c2a878
Lymphangioleiomyomatosis,Lung,3,#c2a878
Mixed Connective Tissue Disease,Lung,38,#c2a878
Obliterative Bronchiolitis (Non-Retransplant),Lung,8,#c2a878
Obstructive Lung Disease,Lung,4,#c2a878
Occupational Lung Disease Other Specify,Lung,5,#c2a878
Polymyositis,Lung,4,#c2a878
Portopulmonary Hypertension,Lung,2,#c2a878
Primary Ciliary Dyskinesia,Lung,1,#c2a878
Ards/Pneumonia,Lung,2,#c2a878
Pulmonary Fibrosis Other Specify Cause,Lung,98,#c2a878
Pulmonary Hypertension/Pulmonary Arterial Hyperte,Lung,32,#c2a878
Pulmonary Vascular Disease,Lung,3,#c2a878
Pulmonary Veno-Occlusive Disease,Lung,3,#c2a878
Rheumatoid Disease,Lung,20,#c2a878
Sarcoidosis,Lung,39,#c2a878
Scleroderma -. Pulmonary Hypertension,Lung,5,#c2a878
Scleroderma -. Restrictive,Lung,24,#c2a878
Secondary Pulmonary Hypertension,Lung,4,#c2a878
Silicosis,Lung,7,#c2a878
Sjogren'S Syndrome,Lung,10,#c2a878
Surfactant Protein C. Deficiency,Lung,1,#c2a878
Wegener'S Granuloma -. Restrictive,Lung,2,#c2a878
COVID-19: PULMONARY FIBROSIS,Lung,15,#c2a878
COMBINED PULMONARY FIBROSIS AND EMPHYSEMA (CPFE),Lung,47,#c2a878
Bronchiectasis,Lung,14,#c2a878
Bronchopulmonary Dysplasia,Lung,3,#c2a878
Common Variable Immune Deficiency,Lung,1,#c2a878
Congenital Malformation,Lung,2,#c2a878
Constrictive Bronchiolitis,Lung,2,#c2a878
Copd/Emphysema,Lung,213,#c2a878
Crest -. Pulmonary Hypertension,Lung,1,#c2a878
Cystic Fibrosis,Lung,15,#c2a878
IIP: DESQUAMATIVE INTERSTITIAL PNEUMONIA,Lung,1,#c2a878
Eisenmenger'S Syn: Atrial Septal Defect,Heart / Lung,1,#5f7a74
Eisenmenger'S Syn: Multi Congenital Anomalies,Heart / Lung,1,#5f7a74
Iip: Idiopathic Pulmonary Fibrosis (Ipf),Heart / Lung,2,#5f7a74
Lymphangioleiomyomatosis,Heart / Lung,1,#5f7a74
Mixed Connective Tissue Disease,Heart / Lung,1,#5f7a74
Pulmonary Fibrosis Other Specify Cause,Heart / Lung,1,#5f7a74
Pulmonary Hypertension/Pulmonary Arterial Hyperte,Heart / Lung,11,#5f7a74
Pulmonary Vascular Disease,Heart / Lung,2,#5f7a74
Pulmonary Veno-Occlusive Disease,Heart / Lung,1,#5f7a74
Rheumatoid Disease,Heart / Lung,2,#5f7a74
Sarcoidosis,Heart / Lung,1,#5f7a74
COVID-19: PULMONARY FIBROSIS,Heart / Lung,1,#5f7a74
Bronchiectasis,Heart / Lung,1,#5f7a74
Copd/Emphysema,Heart / Lung,2,#5f7a74
Cystic Fibrosis,Heart / Lung,1,#5f7a74
Fbp: Hirschsprung'S Disease,Intestine,4,#b8aa8f
Fbp: Microvillous Inclusion Disease,Intestine,2,#b8aa8f
Fbp: Other Specify,Intestine,2,#b8aa8f
Fbp: Pseudo-Obstruction-Myopathic,Intestine,2,#b8aa8f
Fbp: Pseudo-Obstruction-Neuropathic,Intestine,6,#b8aa8f
Fbp: Unspecified,Intestine,1,#b8aa8f
Graft Failure,Intestine,5,#b8aa8f
Intestinal Disease Other Specify,Intestine,6,#b8aa8f
Sgs: Gastroschisis,Intestine,8,#b8aa8f
Sgs: Intestinal Atresia,Intestine,6,#b8aa8f
Sgs: Intestinal Volvulus Secondary To Adhesions,Intestine,1,#b8aa8f
Sgs: Intestinal Volvulus Secondary To Malrotation,Intestine,6,#b8aa8f
Sgs: Mass Resect Sec To Inf Bowel-Crohns,Intestine,4,#b8aa8f
Sgs: Mass Resect Sec To Mes Venous Throm,Intestine,2,#b8aa8f
Sgs: Mass Resect Sec To Tumor,Intestine,3,#b8aa8f
Sgs: Massive Resection Secondary To Mesenteric Ar,Intestine,5,#b8aa8f
Sgs: Necrotizing Enterocolitis,Intestine,17,#b8aa8f
Sgs: Other Specify,Intestine,28,#b8aa8f
Sgs: Unspecified,Intestine,3,#b8aa8f
"Other, Specify",Intestine,41,#b8aa8f
Not Reported,Intestine,14,#b8aa8f
RETRANSPLANT,Intestine,6,#b8aa8f
Not Reported,VCA - abdominal wall,1,#d6c7aa
Not Reported,VCA - head and neck,2,#d6c7aa
Not Reported,VCA - other genitourinary organ,1,#d6c7aa
Not Reported,VCA - upper limb,2,#d6c7aa
Not Reported,VCA - uterus,3,#d6c7aa
