id,type,name,state,region,total_inflow,total_outflow,total_flow,edge_count,lat,lon,coordinate_status,geocode_priority,geocode_query,notes
UTMC-TX1,transplant_center,University of Utah Medical Center,Utah,Region  5,257,0,257,26,40.15,-111.8624,state_centroid,1,"University of Utah Medical Center, Utah (transplant center hospital)",
CASM-TX1,transplant_center,University of California Davis Medical Center,California,Region  5,253,0,253,24,38.5527,-121.4518,facility_or_city,1,"University of California Davis Medical Center, California (transplant center hospital)",nominatim_batch;review
NYNY-TX1,transplant_center,New York-Presbyterian Hospital/Weill Cornell Medical Center,New York,Region  9,251,0,251,29,,,missing,1,"New York-Presbyterian Hospital/Weill Cornell Medical Center, New York (transplant center hospital)",
PAPT-TX1,transplant_center,University of Pittsburgh Medical Center,Pennsylvania,Region  2,248,0,248,40,,,missing,1,"University of Pittsburgh Medical Center, Pennsylvania (transplant center hospital)",
FLCC-TX1,transplant_center,Cleveland Clinic Florida Weston,Florida,Region  3,247,0,247,18,26.0825,-80.3678,facility_or_city,1,"Cleveland Clinic Florida Weston, Florida (transplant center hospital)",nominatim_batch;review
ILUI-TX1,transplant_center,University of Illinois Medical Center,Illinois,Region  7,246,0,246,27,,,missing,1,"University of Illinois Medical Center, Illinois (transplant center hospital)",
NJHK-TX1,transplant_center,Hackensack University Medical Center,New Jersey,Region  2,246,0,246,38,40.8837,-74.0559,facility_or_city,1,"Hackensack University Medical Center, New Jersey (transplant center hospital)",nominatim_batch;review
NCMH-TX1,transplant_center,University of North Carolina Hospitals,North Carolina,Region  11,242,0,242,31,,,missing,1,"University of North Carolina Hospitals, North Carolina (transplant center hospital)",
VAFH-TX1,transplant_center,Inova Fairfax Hospital,Virginia,Region  11,242,0,242,36,38.8574,-77.2285,facility_or_city,1,"Inova Fairfax Hospital, Virginia (transplant center hospital)",nominatim_batch;review
TNMS-OP1,source_dsa,Mid-South Transplant Foundation,Tennessee,Region  11,0,240,240,65,,,missing,1,"Mid-South Transplant Foundation, Tennessee (organ procurement)",
KSUK-TX1,transplant_center,University of Kansas Hospital,Kansas,Region  8,238,0,238,29,39.0571,-94.6095,facility_or_city,1,"University of Kansas Hospital, Kansas (transplant center hospital)",nominatim_batch;review
PATU-TX1,transplant_center,Temple University Hospital,Pennsylvania,Region  2,230,0,230,48,40.0053,-75.1508,facility_or_city,1,"Temple University Hospital, Pennsylvania (transplant center hospital)",nominatim_batch;review
PRLL-OP1,source_dsa,LifeLink of Puerto Rico,Puerto Rico,Region  3,0,226,226,50,,,missing,1,"LifeLink of Puerto Rico, Puerto Rico (organ procurement)",
WISE-TX1,transplant_center,Froedtert Memorial Lutheran Hospital,Wisconsin,Region  7,226,0,226,34,43.0414,-88.0246,facility_or_city,1,"Froedtert Memorial Lutheran Hospital, Wisconsin (transplant center hospital)",nominatim_batch;review
TXHD-TX1,transplant_center,Medical City Dallas Hospital,Texas,Region  4,218,0,218,21,32.9121,-96.7739,facility_or_city,1,"Medical City Dallas Hospital, Texas (transplant center hospital)",nominatim_batch;review
WASM-TX1,transplant_center,Swedish Medical Center,Washington,Region  6,216,0,216,8,47.6087,-122.3227,facility_or_city,1,"Swedish Medical Center, Washington (transplant center hospital)",nominatim_batch;review
ORUO-TX1,transplant_center,Oregon Health and Science University,Oregon,Region  6,214,0,214,15,44.572,-122.0709,state_centroid,1,"Oregon Health and Science University, Oregon (transplant center hospital)",
MDUM-TX1,transplant_center,University of Maryland Medical System,Maryland,Region  2,212,0,212,25,,,missing,1,"University of Maryland Medical System, Maryland (transplant center hospital)",
CAIM-TX1,transplant_center,University of California Irvine Medical Center,California,Region  5,210,0,210,19,36.1162,-119.6816,state_centroid,1,"University of California Irvine Medical Center, California (transplant center hospital)",
MABI-TX1,transplant_center,Beth Israel Deaconess Medical Center,Massachusetts,Region  1,210,0,210,22,42.2475,-71.003,facility_or_city,1,"Beth Israel Deaconess Medical Center, Massachusetts (transplant center hospital)",nominatim_batch;review
TNMH-TX1,transplant_center,Methodist University Hospital,Tennessee,Region  11,210,0,210,29,39.7912,-86.1632,facility_or_city,1,"Methodist University Hospital, Tennessee (transplant center hospital)",nominatim_batch;review
TXMC-TX1,transplant_center,Methodist Dallas Medical Center,Texas,Region  4,202,0,202,23,32.7613,-96.825,facility_or_city,1,"Methodist Dallas Medical Center, Texas (transplant center hospital)",nominatim_batch;review
OKBC-TX1,transplant_center,Integris Baptist Medical Center,Oklahoma,Region  4,201,0,201,23,35.5295,-97.5765,facility_or_city,1,"Integris Baptist Medical Center, Oklahoma (transplant center hospital)",nominatim_batch;review
ARUA-TX1,transplant_center,UAMS Medical Center,Arkansas,Region  3,199,0,199,32,,,missing,2,"UAMS Medical Center, Arkansas (transplant center hospital)",
NYWN-OP1,source_dsa,Upstate New York Transplant Services Inc,New York,Region  9,0,199,199,60,,,missing,2,"Upstate New York Transplant Services Inc, New York (organ procurement)",
KYUK-TX1,transplant_center,University of Kentucky Medical Center,Kentucky,Region  11,196,0,196,38,,,missing,2,"University of Kentucky Medical Center, Kentucky (transplant center hospital)",
OHCO-TX1,transplant_center,University of Toledo Medical Center,Ohio,Region  11,189,0,189,42,41.62,-83.617,facility_or_city,2,"University of Toledo Medical Center, Ohio (transplant center hospital)",nominatim_batch;review
TNST-TX1,transplant_center,Saint Thomas Hospital,Tennessee,Region  11,185,0,185,32,36.1297,-86.8446,facility_or_city,2,"Saint Thomas Hospital, Tennessee (transplant center hospital)",nominatim_batch;review
PATJ-TX1,transplant_center,Thomas Jefferson University Hospital,Pennsylvania,Region  2,184,0,184,32,39.9493,-75.158,facility_or_city,2,"Thomas Jefferson University Hospital, Pennsylvania (transplant center hospital)",nominatim_batch;review
NCBG-TX1,transplant_center,Wake Forest Baptist Medical Center,North Carolina,Region  11,182,0,182,30,36.0898,-80.2677,facility_or_city,2,"Wake Forest Baptist Medical Center, North Carolina (transplant center hospital)",nominatim_batch;review
NVUM-TX1,transplant_center,University Medical Center of Southern Nevada,Nevada,Region  5,179,0,179,28,,,missing,2,"University Medical Center of Southern Nevada, Nevada (transplant center hospital)",
NYFL-IO1,source_dsa,Finger Lakes Donor Recovery Network,New York,Region  9,0,179,179,64,,,missing,2,"Finger Lakes Donor Recovery Network, New York (organ procurement)",
LATU-TX1,transplant_center,Tulane Medical Center,Louisiana,Region  3,177,0,177,26,29.9559,-90.0763,facility_or_city,2,"Tulane Medical Center, Louisiana (transplant center hospital)",nominatim_batch;review
NYFL-TX1,transplant_center,"Strong Memorial Hospital, University of Rochester Medical Center",New York,Region  9,173,0,173,25,,,missing,2,"Strong Memorial Hospital, University of Rochester Medical Center, New York (transplant center hospital)",
FLMR-TX1,transplant_center,Memorial Regional Hospital,Florida,Region  3,170,0,170,25,26.0196,-80.1799,facility_or_city,2,"Memorial Regional Hospital, Florida (transplant center hospital)",nominatim_batch;review
NYWC-TX1,transplant_center,Westchester Medical Center,New York,Region  9,168,0,168,21,41.0874,-73.8067,facility_or_city,2,"Westchester Medical Center, New York (transplant center hospital)",nominatim_batch;review
MSUM-TX1,transplant_center,University of Mississippi Medical Center,Mississippi,Region  3,167,0,167,18,32.3309,-90.1723,facility_or_city,2,"University of Mississippi Medical Center, Mississippi (transplant center hospital)",nominatim_batch;review
HIOP-OP1,source_dsa,Legacy of Life Hawaii,Hawaii,Region  6,0,166,166,30,21.0943,-157.4983,state_centroid,2,"Legacy of Life Hawaii, Hawaii (organ procurement)",
AZGS-TX1,transplant_center,Banner-University Medical Center Phoenix,Arizona,Region  5,165,0,165,16,33.4647,-112.0586,facility_or_city,2,"Banner-University Medical Center Phoenix, Arizona (transplant center hospital)",nominatim_batch;review
ILPL-TX1,transplant_center,Rush University Medical Center,Illinois,Region  7,164,0,164,22,41.8746,-87.6691,facility_or_city,2,"Rush University Medical Center, Illinois (transplant center hospital)",nominatim_batch;review
MANM-TX1,transplant_center,Tufts Medical Center,Massachusetts,Region  1,160,0,160,19,42.3497,-71.0639,facility_or_city,2,"Tufts Medical Center, Massachusetts (transplant center hospital)",nominatim_batch;review
PAAG-TX1,transplant_center,Allegheny General Hospital,Pennsylvania,Region  2,155,0,155,28,40.457,-80.0033,facility_or_city,2,"Allegheny General Hospital, Pennsylvania (transplant center hospital)",nominatim_batch;review
MAUM-TX1,transplant_center,UMass Memorial Medical Center,Massachusetts,Region  1,154,0,154,18,42.2852,-71.7897,facility_or_city,2,"UMass Memorial Medical Center, Massachusetts (transplant center hospital)",nominatim_batch;review
MALC-TX1,transplant_center,Lahey Clinic Medical Center,Massachusetts,Region  1,152,0,152,16,42.4846,-71.2042,facility_or_city,2,"Lahey Clinic Medical Center, Massachusetts (transplant center hospital)",nominatim_batch;review
AZSJ-TX1,transplant_center,St. Joseph's Hospital and Medical Center,Arizona,Region  5,144,0,144,27,,,missing,2,"St. Joseph's Hospital and Medical Center, Arizona (transplant center hospital)",
CTYN-TX1,transplant_center,Yale New Haven Hospital,Connecticut,Region  1,137,0,137,22,41.3046,-72.9356,facility_or_city,2,"Yale New Haven Hospital, Connecticut (transplant center hospital)",nominatim_batch;review
MAPB-TX1,transplant_center,Brigham and Women's Hospital,Massachusetts,Region  1,134,0,134,35,42.3356,-71.106,facility_or_city,2,"Brigham and Women's Hospital, Massachusetts (transplant center hospital)",nominatim_batch;review
PAAE-TX1,transplant_center,Albert Einstein Medical Center,Pennsylvania,Region  2,133,0,133,26,,,missing,2,"Albert Einstein Medical Center, Pennsylvania (transplant center hospital)",
PALV-TX1,transplant_center,Lehigh Valley Hospital,Pennsylvania,Region  2,133,0,133,28,40.5652,-75.522,facility_or_city,2,"Lehigh Valley Hospital, Pennsylvania (transplant center hospital)",nominatim_batch;review
TXTC-TX1,transplant_center,Texas Children's Hospital,Texas,Region  4,133,0,133,29,29.7069,-95.4023,facility_or_city,2,"Texas Children's Hospital, Texas (transplant center hospital)",nominatim_batch;review
CTHH-TX1,transplant_center,Hartford Hospital,Connecticut,Region  1,130,0,130,24,41.7541,-72.6794,facility_or_city,2,"Hartford Hospital, Connecticut (transplant center hospital)",nominatim_batch;review
