id,type,name,state,total_flow,lat,lon,coordinate_status,geocode_priority,why_still_needs_work,geocode_query
PAGM-TX1,transplant_center,Geisinger Medical Center,Pennsylvania,77,40.9681,-76.6046,facility_or_city,2,batch_hit_needs_spot_check,"Geisinger Medical Center, Pennsylvania (transplant center hospital)"
CASJ-TX1,transplant_center,Saint Joseph Hospital,California,72,33.7821,-117.864,facility_or_city,2,batch_hit_needs_spot_check,"Saint Joseph Hospital, California (transplant center hospital)"
OKMD-TX1,transplant_center,OU Medical Center,Oklahoma,71,35.4813,-97.5011,facility_or_city,2,batch_hit_needs_spot_check,"OU Medical Center, Oklahoma (transplant center hospital)"
MORH-TX1,transplant_center,Research Medical Center,Missouri,67,39.0099,-94.5597,facility_or_city,2,batch_hit_needs_spot_check,"Research Medical Center, Missouri (transplant center hospital)"
TXJS-TX1,transplant_center,University of Texas Medical Branch at Galveston,Texas,66,29.312,-94.7763,facility_or_city,2,batch_hit_needs_spot_check,"University of Texas Medical Branch at Galveston, Texas (transplant center hospital)"
DCGW-TX1,transplant_center,George Washington University Hospital,District of Columbia,65,38.9014,-77.0506,facility_or_city,2,batch_hit_needs_spot_check,"George Washington University Hospital, District of Columbia (transplant center hospital)"
OHCM-TX1,transplant_center,Children's Hospital Medical Center,Ohio,57,39.1409,-84.5023,facility_or_city,2,batch_hit_needs_spot_check,"Children's Hospital Medical Center, Ohio (transplant center hospital)"
TXCM-TX1,transplant_center,Children's Medical Center of Dallas,Texas,56,32.8095,-96.8375,facility_or_city,2,batch_hit_needs_spot_check,"Children's Medical Center of Dallas, Texas (transplant center hospital)"
ILCH-TX1,transplant_center,Advocate Christ Medical Center,Illinois,55,41.7218,-87.7302,facility_or_city,2,batch_hit_needs_spot_check,"Advocate Christ Medical Center, Illinois (transplant center hospital)"
NYUM-TX1,transplant_center,State University of New York Upstate Medical University,New York,55,43.0408,-76.1391,facility_or_city,2,batch_hit_needs_spot_check,"State University of New York Upstate Medical University, New York (transplant center hospital)"
ILCM-TX1,transplant_center,Ann & Robert H. Lurie Children's Hospital of Chicago,Illinois,54,41.8454,-87.9083,facility_or_city,2,batch_hit_needs_spot_check,"Ann & Robert H. Lurie Children's Hospital of Chicago, Illinois (transplant center hospital)"
OHTC-TX1,transplant_center,The Christ Hospital,Ohio,53,39.1208,-84.5111,facility_or_city,2,batch_hit_needs_spot_check,"The Christ Hospital, Ohio (transplant center hospital)"
CACL-TX1,transplant_center,Children's Hospital Los Angeles,California,52,34.0977,-118.2901,facility_or_city,2,batch_hit_needs_spot_check,"Children's Hospital Los Angeles, California (transplant center hospital)"
PACH-TX1,transplant_center,UPMC Children's Hospital of Pittsburgh,Pennsylvania,51,40.4672,-79.9532,facility_or_city,2,batch_hit_needs_spot_check,"UPMC Children's Hospital of Pittsburgh, Pennsylvania (transplant center hospital)"
PAVA-TX1,transplant_center,VA Pittsburgh Healthcare System,Pennsylvania,51,40.4468,-79.9621,facility_or_city,2,batch_hit_needs_spot_check,"VA Pittsburgh Healthcare System, Pennsylvania (transplant center hospital)"
