,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - abdominal wall,VCA - head and neck,VCA - other genitourinary organ,VCA - upper limb,VCA - uterus
Rheumatoid Disease,,22,0,0,0,0,0,20,2,0,0,0,0,0,0
Sarcoidosis,,40,0,0,0,0,0,39,1,0,0,0,0,0,0
Sarcoidosis,,64,64,0,0,0,0,0,0,0,0,0,0,0,0
Benign Tumor: Other Specify,,4,0,4,0,0,0,0,0,0,0,0,0,0,0
Scleroderma,,30,30,0,0,0,0,0,0,0,0,0,0,0,0
Scleroderma -. Pulmonary Hypertension,,5,0,0,0,0,0,5,0,0,0,0,0,0,0
Scleroderma -. Restrictive,,24,0,0,0,0,0,24,0,0,0,0,0,0,0
Sec Biliary Cirrhosis: Caroli'S Disease,,11,0,11,0,0,0,0,0,0,0,0,0,0,0
Sec Biliary Cirrhosis: Choledochol Cyst,,7,0,7,0,0,0,0,0,0,0,0,0,0,0
Sec Biliary Cirrhosis: Other Specify,,22,0,22,0,0,0,0,0,0,0,0,0,0,0
Secondary Hepatic Malignancy Other Specify,,14,0,14,0,0,0,0,0,0,0,0,0,0,0
Benign Tumor: Polycystic Liver Disease,,63,0,63,0,0,0,0,0,0,0,0,0,0,0
Secondary Pulmonary Hypertension,,4,0,0,0,0,0,4,0,0,0,0,0,0,0
Sgs: Gastroschisis,,8,0,0,0,0,0,0,0,8,0,0,0,0,0
Sgs: Intestinal Atresia,,6,0,0,0,0,0,0,0,6,0,0,0,0,0
Sgs: Intestinal Volvulus Secondary To Adhesions,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Sgs: Intestinal Volvulus Secondary To Malrotation,,6,0,0,0,0,0,0,0,6,0,0,0,0,0
Sgs: Mass Resect Sec To Inf Bowel-Crohns,,4,0,0,0,0,0,0,0,4,0,0,0,0,0
Sgs: Mass Resect Sec To Mes Venous Throm,,2,0,0,0,0,0,0,0,2,0,0,0,0,0
Sgs: Mass Resect Sec To Tumor,,3,0,0,0,0,0,0,0,3,0,0,0,0,0
Sgs: Massive Resection Secondary To Mesenteric Ar,,5,0,0,0,0,0,0,0,5,0,0,0,0,0
Bile Duct Cancer,,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sgs: Necrotizing Enterocolitis,,17,0,0,0,0,0,0,0,17,0,0,0,0,0
Sgs: Other Specify,,28,0,0,0,0,0,0,0,28,0,0,0,0,0
Sgs: Unspecified,,3,0,0,0,0,0,0,0,3,0,0,0,0,0
Sickle Cell Anemia,,67,67,0,0,0,0,0,0,0,0,0,0,0,0
Silicosis,,7,0,0,0,0,0,7,0,0,0,0,0,0,0
Sjogren'S Syndrome,,10,0,0,0,0,0,10,0,0,0,0,0,0,0
Surfactant Protein C. Deficiency,,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Systemic Lupus Erythematosus,,"2,135","2,134",0,0,1,0,0,0,0,0,0,0,0,0
"Bile Duct Cancer: (Cholangioma, Biliary Tract Car",,8,0,8,0,0,0,0,0,0,0,0,0,0,0
Thin Basement Membrane Disease,,76,76,0,0,0,0,0,0,0,0,0,0,0,0
Tpn/Hyperalimentation Ind Liver Disease,,33,0,33,0,0,0,0,0,0,0,0,0,0,0
Trauma Other Specify,,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Urolithiasis,,14,14,0,0,0,0,0,0,0,0,0,0,0,0
Valvular Heart Disease,,28,0,0,0,0,28,0,0,0,0,0,0,0,0
Wegener'S Granuloma -. Restrictive,,2,0,0,0,0,0,2,0,0,0,0,0,0,0
Acute Tubular Necrosis,,383,382,0,0,1,0,0,0,0,0,0,0,0,0
