,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
,Sarcoidosis,,72,0,0,0,0,0,70,2,0,0,0
,Sarcoidosis,,20,20,0,0,0,0,0,0,0,0,0
,Benign Tumor: Other Specify,,7,0,7,0,0,0,0,0,0,0,0
,Scleroderma,,7,7,0,0,0,0,0,0,0,0,0
,Scleroderma -. Pulmonary Hypertension,,17,0,0,0,0,0,17,0,0,0,0
,Scleroderma -. Restrictive,,48,0,0,0,0,0,48,0,0,0,0
,Sec Biliary Cirrhosis: Caroli'S Disease,,6,0,6,0,0,0,0,0,0,0,0
,Sec Biliary Cirrhosis: Choledochol Cyst,,1,0,1,0,0,0,0,0,0,0,0
,Sec Biliary Cirrhosis: Other Specify,,8,0,8,0,0,0,0,0,0,0,0
,Secondary Hepatic Malignancy Other Specify,,35,0,35,0,0,0,0,0,0,0,0
,Benign Tumor: Polycystic Liver Disease,,125,0,125,0,0,0,0,0,0,0,0
,Secondary Pulmonary Hypertension,,1,0,0,0,0,0,1,0,0,0,0
,Sgs: Gastroschisis,,5,0,0,0,0,0,0,0,5,0,0
,Sgs: Intestinal Atresia,,5,0,0,0,0,0,0,0,5,0,0
,Sgs: Intestinal Volvulus Secondary To Adhesions,,1,0,0,0,0,0,0,0,1,0,0
,Sgs: Intestinal Volvulus Secondary To Malrotation,,4,0,0,0,0,0,0,0,4,0,0
,Sgs: Mass Resect Sec To Inf Bowel-Crohns,,3,0,0,0,0,0,0,0,3,0,0
,Sgs: Mass Resect Sec To Mes Venous Throm,,3,0,0,0,0,0,0,0,3,0,0
,Sgs: Mass Resect Sec To Tumor,,2,0,0,0,0,0,0,0,2,0,0
,Sgs: Massive Resection Secondary To Mesenteric Ar,,4,0,0,0,0,0,0,0,4,0,0
,Sgs: Necrotizing Enterocolitis,,1,0,0,0,0,0,0,0,1,0,0
,Sgs: Other Specify,,18,0,0,0,0,0,0,0,18,0,0
,Sgs: Unspecified,,1,0,0,0,0,0,0,0,1,0,0
,Sickle Cell Anemia,,19,19,0,0,0,0,0,0,0,0,0
,
,Silicosis,,28,0,0,0,0,0,28,0,0,0,0
,Sjogren'S Syndrome,,21,0,0,0,0,0,21,0,0,0,0
,Surfactant Protein B. Deficiency,,2,0,0,0,0,0,2,0,0,0,0
,Surfactant Protein C. Deficiency,,2,0,0,0,0,0,2,0,0,0,0
,Systemic Lupus Erythematosus,,703,703,0,0,0,0,0,0,0,0,0
,"Bile Duct Cancer: (Cholangioma, Biliary Tract Car",,14,0,14,0,0,0,0,0,0,0,0
,Thin Basement Membrane Disease,,20,20,0,0,0,0,0,0,0,0,0
,Tpn/Hyperalimentation Ind Liver Disease,,18,0,18,0,0,0,0,0,0,0,0
,Trauma Other Specify,,1,0,1,0,0,0,0,0,0,0,0
,Urolithiasis,,1,1,0,0,0,0,0,0,0,0,0
,Valvular Heart Disease,,55,0,0,0,0,53,0,2,0,0,0
,Wegener'S Granuloma -. Restrictive,,1,0,0,0,0,0,1,0,0,0,0
,Acute Tubular Necrosis,,139,137,0,0,2,0,0,0,0,0,0
,CYSTIC FIBROSIS,,20,0,20,0,0,0,0,0,0,0,0
,"Biliary Atresia Or Hypoplasia: Other, Specify",,33,0,33,0,0,0,0,0,0,0,0
,Wegeners Granulomatosis,,81,80,0,0,1,0,0,0,0,0,0
,Wilms' Tumor,,14,13,0,0,1,0,0,0,0,0,0
,"Other, Specify",,"3,752","2,927",644,43,7,103,3,2,23,0,0
,Not Reported,,50,25,2,0,0,5,8,4,0,0,6
,Congenital,,1,0,0,0,0,0,0,0,0,0,1
,Malignancy,,1,0,0,0,0,0,0,0,0,1,0
,Biliary Atresia: Extrahepatic,,157,0,157,0,0,0,0,0,0,0,0
,Other Specify,,2,0,0,0,0,0,0,0,0,0,2
,DILATED MYOPATHY: VIRAL (NOT COVID-19),,15,0,0,0,0,15,0,0,0,0,0
,COVID-19: DILATED MYOPATHY: ACTIVE MYOCARDITIS,,1,0,0,0,0,1,0,0,0,0,0
,COVID-19: DILATED MYOPATHY: HISTORY OF MYOCARDITIS,,1,0,0,0,0,1,0,0,0,0,0
,COVID-19: ARDS,,5,0,0,0,0,0,4,1,0,0,0
,COVID-19: PULMONARY FIBROSIS,,39,0,0,0,0,0,39,0,0,0,0
,ACUTE ALCOHOL-ASSOCIATED HEPATITIS WITH OR WITHOUT CIRRHOSIS,,803,0,803,0,0,0,0,0,0,0,0
,ALCOHOL-ASSOCIATED CIRRHOSIS WITHOUT ACUTE ALCOHOL-ASSOCIATED HEPATITIS,,"3,410",0,"3,410",0,0,0,0,0,0,0,0
,COMBINED PULMONARY FIBROSIS AND EMPHYSEMA (CPFE),,201,0,0,0,0,0,200,1,0,0,0
,Biliary Hypoplasia: Alagille’s Syndrome (Paucity,,23,0,23,0,0,0,0,0,0,0,0
,CIRRHOSIS: METABOLIC DYSFUNCTION - ASSOCIATED STEATOHEPATITIS (MASH),,"2,012",0,"2,012",0,0,0,0,0,0,0,0
,CIRRHOSIS: METABOLIC DYSFUNCTION AND ALCOHOL-RELATED/ASSOCIATED LIVER DISEASE (METALD),,505,0,505,0,0,0,0,0,0,0,0
,PULMONARY LYMPHANGIECTASIA (PL),,2,0,0,0,0,0,2,0,0,0,0
,Biliary Hypoplasia: Nonsyndromic Paucity Of Intra,,1,0,1,0,0,0,0,0,0,0,0
,Bronchiectasis,,71,0,0,0,0,0,70,1,0,0,0
,Bronchioloalveolar Carcinoma (Bac),,3,0,0,0,0,0,3,0,0,0,0
,Bronchopulmonary Dysplasia,,3,0,0,0,0,0,3,0,0,0,0
,Budd-Chiari Syndrome,,38,0,38,0,0,0,0,0,0,0,0
,Calcineurin Inhibitor Nephrotoxicity,,209,209,0,0,0,0,0,0,0,0,0
,
,Cancer,,1,0,0,0,0,1,0,0,0,0,0
,Ahn: Drug Other Specify,,43,0,43,0,0,0,0,0,0,0,0
,Cancer Chemotherapy Induced Nephritis,,21,21,0,0,0,0,0,0,0,0,0
,Carcinoid Tumorlets,,2,0,0,0,0,0,2,0,0,0,0
,Choles Liver Disease: Other Specify,,33,0,33,0,0,0,0,0,0,0,0
,Chronic Glomerulonephritis Unspecified,,360,360,0,0,0,0,0,0,0,0,0
,Chronic Glomerulosclerosis Unspecified,,45,45,0,0,0,0,0,0,0,0,0
,Chronic Nephrosclerosis-Unspecified,,30,30,0,0,0,0,0,0,0,0,0
,Chronic Pyelonephritis/Reflux Nephropath,,98,98,0,0,0,0,0,0,0,0,0
,Cirrhosis: Autoimmune,,292,0,292,0,0,0,0,0,0,0,0
,Ahn: Etiology Unknown,,32,0,32,0,0,0,0,0,0,0,0
,Cirrhosis: Chronic Active Hepatitis: Etiology Unk,,17,0,17,0,0,0,0,0,0,0,0
,Cirrhosis: Cryptogenic (Idiopathic),,281,0,281,0,0,0,0,0,0,0,0
,Cirrhosis: Drug/Indust Exposure Other Specify,,11,0,11,0,0,0,0,0,0,0,0
,"Cirrhosis: Other, Specify (E.G., Histiocytosis, S",,447,0,447,0,0,0,0,0,0,0,0
,Cirrhosis: Type B. And C,,4,0,4,0,0,0,0,0,0,0,0
,Cirrhosis: Type B. And D,,4,0,4,0,0,0,0,0,0,0,0
,Cirrhosis: Type B- Hbsag+,,96,0,96,0,0,0,0,0,0,0,0
,"Ahn: Other, Specify (E.G., Acute Viral Infection,",,71,0,71,0,0,0,0,0,0,0,0
,Cirrhosis: Type C,,259,0,259,0,0,0,0,0,0,0,0
,Cirrhosis: Type D,,1,0,1,0,0,0,0,0,0,0,0
,Congenital Heart Defect -. Prior Surgery Unknown,,4,0,0,0,0,4,0,0,0,0,0
