,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,VCA - other genitourinary organ,VCA - uterus
TNLB-TX1 Le Bonheur Children's Medical Center,,18,9,4,0,0,5,0,0,0,0,0
TNMH-TX1 Methodist University Hospital,,227,170,46,1,10,0,0,0,0,0,0
TNST-TX1 Saint Thomas Hospital,,201,164,0,0,0,37,0,0,0,0,0
TNUK-TX1 University of Tennessee Medical Center at Knoxville,,73,73,0,0,0,0,0,0,0,0,0
TNVU-TX1 Vanderbilt University Medical Center,,960,385,201,1,11,210,149,3,0,0,0
TXAS-TX1 Baylor  Scott and White All Saints Medical Center-Fort Worth,,132,73,55,0,4,0,0,0,0,0,0
"TXBC-TX1 University Hospital, University of Texas Health Science Center",,408,201,182,0,0,0,25,0,0,0,0
TXCF-TX1 Cook Children's Medical Center,,6,6,0,0,0,0,0,0,0,0,0
TXCM-TX1 Children's Medical Center of Dallas,,60,14,20,0,0,26,0,0,0,0,0
TXCT-TX1 Seton Medical Center Austin,,7,0,0,0,0,7,0,0,0,0,0
TXDC-TX1 Driscoll Children's Hospital,,6,6,0,0,0,0,0,0,0,0,0
TXDL-TX1 Dell Children's Medical Center,,10,0,0,0,0,10,0,0,0,0,0
TXDM-TX1 North Austin Medical Center,,34,34,0,0,0,0,0,0,0,0,0
TXDR-TX1 Doctor's Hospital at Renaissance,,101,101,0,0,0,0,0,0,0,0,0
TXDS-TX1 Dell Seton Medical Center at The University of Texas at Austin,,30,30,0,0,0,0,0,0,0,0,0
TXFW-TX1 Texas Health Harris Methodist Fort Worth Hospital,,71,71,0,0,0,0,0,0,0,0,0
TXHD-TX1 Medical City Dallas Hospital,,303,235,46,0,7,15,0,0,0,0,0
"TXHH-TX1 Memorial Hermann Hospital, University of Texas at Houston",,52,11,4,0,0,23,14,0,0,0,0
TXHI-TX1 CHI St. Luke's Health Baylor College of Medicine Medical Center,,406,153,120,0,0,30,102,1,0,0,0
TXHS-TX1 Methodist Specialty and Transplant Hospital,,489,344,65,2,3,67,8,0,0,0,0
TXJS-TX1 University of Texas Medical Branch at Galveston,,94,90,0,0,0,4,0,0,0,0,0
TXLM-TX1 Covenant Medical Center,,9,9,0,0,0,0,0,0,0,0,0
TXLP-TX1 Las Palmas Medical Center,,52,52,0,0,0,0,0,0,0,0,0
TXMC-TX1 Methodist Dallas Medical Center,,224,152,69,0,3,0,0,0,0,0,0
TXMH-TX1 Houston Methodist Hospital,,838,329,338,2,9,73,83,4,0,0,0
TXPL-TX1 Medical City Fort Worth,,100,96,0,0,4,0,0,0,0,0,0
TXPM-TX1 Parkland Health and Hospital System,,34,34,0,0,0,0,0,0,0,0,0
TXSP-TX1 UT Southwestern Medical Center/William P. Clements Jr. University Hospital,,458,212,121,0,0,56,69,0,0,0,0
TXSW-TX1 Scott and White Memorial Hospital,,101,69,0,0,7,25,0,0,0,0,0
TXTC-TX1 Texas Children's Hospital,,144,56,51,0,0,29,7,0,0,0,1
TXTX-TX1 Baylor University Medical Center,,533,268,120,0,9,88,41,0,0,0,7
TXUC-TX1 University Children's Health,,20,17,3,0,0,0,0,0,0,0,0
TXVA-TX1 Michael E. DeBakey VA Medical Center,,52,34,14,0,0,4,0,0,0,0,0
UTLD-TX1 Intermountain Medical Center,,515,252,227,0,4,32,0,0,0,0,0
UTMC-TX1 University of Utah Medical Center,,316,175,47,0,6,38,50,0,0,0,0
UTPC-TX1 Primary Children's Hospital,,51,12,21,0,0,18,0,0,0,0,0
VACH-TX1 Children's Hospital of the King's Daughters,,3,3,0,0,0,0,0,0,0,0,0
VAFH-TX1 Inova Fairfax Hospital,,286,188,0,0,2,37,59,0,0,0,0
VAHD-TX1 Henrico Doctors' Hospital,,37,37,0,0,0,0,0,0,0,0,0
"VAMC-TX1 VCU Health System Authority, VCUMC",,556,315,197,0,13,27,4,0,0,0,0
VANG-TX1 Sentara Norfolk General Hospital,,117,96,0,0,3,18,0,0,0,0,0
VAUV-TX1 University of Virginia Health Sciences Center,,370,196,99,1,4,27,43,0,0,0,0
VTMC-TX1 The University of Vermont Medical Center,,2,2,0,0,0,0,0,0,0,0,0
WACH-TX1 Seattle Children's Hospital,,52,25,14,0,0,13,0,0,0,0,0
WASH-TX1 Providence Sacred Heart Medical Center & Children's Hospital,,91,85,0,0,0,6,0,0,0,0,0
WASM-TX1 Swedish Medical Center,,235,131,102,0,2,0,0,0,0,0,0
WAUW-TX1 University of Washington Medical Center,,443,194,117,0,2,66,64,0,0,0,0
WAVM-TX1 Virginia Mason Medical Center,,101,100,0,0,1,0,0,0,0,0,0
WICH-TX1 Children's Hospital of Wisconsin,,18,7,4,0,0,7,0,0,0,0,0
WISE-TX1 Froedtert Memorial Lutheran Hospital,,299,176,64,2,12,23,22,0,0,0,0
WISL-TX1 Aurora St. Luke's Medical Center,,106,73,7,0,2,24,0,0,0,0,0
WIUW-TX1 University of Wisconsin Hospital and Clinics,,539,285,134,8,21,24,66,1,0,0,0
WVCA-TX1 Charleston Area Medical Center,,82,82,0,0,0,0,0,0,0,0,0
WVWU-TX1 West Virginia University Hospitals Inc.,,21,13,0,0,0,8,0,0,0,0,0
